"id","year","short_citation","stable_id","cluster","review_depth","main_evidence","central_limit","evidence_grade","disposition","protocol_consequence"
"HV008","1995","Messick; Validity of psychological assessment","10.1037/0003-066X.50.9.741","measurement_validity","full_text","Frames validity as evidence supporting score interpretation and use","Conceptual rather than an executable art method","A","core_candidate","Tie each coordinate to an explicit claim ceiling"
"HV009","2017","Flake Pek and Hehman; Construct validation in social research","10.1177/1948550617693063","measurement_validity","full_text","Documents construct-measure mismatch and proposes transparent validation","Social-science examples not art-specific","A","core_candidate","Publish construct and non-construct statement for every coordinate"
"HV010","2020","Reymond et al.; Aesthetic evaluation of digitally reproduced art images","10.3389/fpsyg.2020.615575","human_validity","full_text","Crosses saturation viewing duration and art experience for digitally reproduced paintings","Liking and emotion over sixteen works do not measure painter specificity; device conditions vary","B","secondary_candidate","Predefine expertise and viewing strata and keep liking separate from painter-manner judgments"
"HV011","1999","Locher Smith and Smith; Original paintings versus slide and computer reproductions","10.2190/R1WN-TAF2-376D-EFUH","human_validity","full_text","Compares viewer responses to nine works as originals slides and computer images","Small legacy-display study; perceptual accommodation is not metric invariance","B","secondary_candidate","Treat reproduction format as an experimental facet and test equivalence rather than assume it"
"HV012","2021","Iigaya et al.; Predicting aesthetic preference from low- and high-level visual features","10.1038/s41562-021-01124-6","human_validity","full_text","Shows low- and high-level image variables jointly predict individual art preference","Preference is not painterly manner and model selection shares stimulus structure","B","diagnostic_only","Use liking and generic aesthetic quality as discriminant outcomes"
"HV013","2020","Yeh et al.; Improving style transfer with calibrated metrics","10.1109/WACV45572.2020.9093351","human_validity","full_text","Calibrates separate style-transfer effectiveness and coherence measures against human pairs","Method-level neural style transfer with one style reference does not estimate a painter distribution","B","secondary_candidate","Separate resemblance and content preservation and sample many real reference works"
"HV014","1993","Meredith; Measurement invariance factor analysis and factorial invariance","10.1007/BF02294825","measurement_validity","full_text","Formalizes invariance conditions required before comparing latent scores across groups","Factor-model conditions require adaptation for forced choices and art judgments","A","core_candidate","Test group and display invariance or report population-specific painter relations"
"HV015","2020","Specker et al.; Vienna Art Interest and Art Knowledge Questionnaire","10.1037/aca0000205","human_validity","full_text","Validates separate measures of art interest and art knowledge","General art knowledge is not painter-specific attribution expertise","A","core_candidate","Record formal role training knowledge interest and painter familiarity separately"
"HV016","1952","Bradley and Terry; Rank analysis by paired comparisons","10.2307/2334029","inference","full_text","Defines a probabilistic latent-strength model for paired comparison outcomes and incomplete designs","Basic model needs extensions for crossed raters works prompts and dependence","A","core_candidate","Use hierarchical paired-choice models and diagnose order transitivity and rater effects"
"RB001","2016","Dodge and Karam; Image-quality robustness of deep networks","10.1109/QoMEX.2016.7498955","robustness","full_text","Shows deep model predictions degrade under image-quality distortions","Generic object tasks rather than art","B","core_candidate","Run codec blur noise and resolution perturbation panels"
"RB002","2019","Hendrycks and Dietterich; Benchmarking neural-network corruption robustness","OpenReview:HJz6tiCqYm","robustness","full_text","Introduces standardized common-corruption evaluation","Corruptions are not calibrated museum-reproduction errors","A","secondary_candidate","Adapt only defensible perturbations and set art-specific SESOIs"
"RB003","2011","Torralba and Efros; Unbiased look at dataset bias","10.1109/CVPR.2011.5995347","domain_shift","full_text","Demonstrates strong dataset-origin signatures across vision corpora","Not specific to art but directly relevant to museum-source prediction","A","core_candidate","Make source prediction and leave-source-out transfer gating"
"RB004","2019","Recht et al.; Do ImageNet classifiers generalize to ImageNet","PMLR:v97:recht19a","domain_shift","full_text","Shows accuracy shifts under a new test set matching the original protocol","General benchmark rather than painting corpus","A","core_candidate","Use sealed external source and avoid convenience random splits"
"RB005","2019","Geirhos et al.; ImageNet CNNs are biased toward texture","OpenReview:Bygh9j09KX","robustness","full_text","Shows CNN classification can rely on texture shortcuts","Object-recognition setting differs from painter features","A","diagnostic_only","Use shape texture and phase controls for learned encoders"
"RB006","2022","Fang et al.; Data augmentation and distribution shifts","PMLR:v162:fang22a","domain_shift","full_text","Analyzes robustness under distribution shifts and augmentation choices","Generic vision tasks and training interventions","B","background_only","Do not assume augmentation creates source invariance"
"RB007","2020","Barz and Denzler; Purging CIFAR of near-duplicates","10.3390/jimaging6060041","domain_shift","full_text","Audits benchmark train-test near-duplicates and shows performance changes after purging","Small natural-image benchmarks and representation-dependent duplicate detection","B","diagnostic_only","Deduplicate at physical-work and derivative-family level before splitting"
"RB008","2022","Parmar Zhang and Zhu; Aliased resizing in generative evaluation","CVF:CVPR2022-Parmar-Aliased-Resizing","robustness","full_text","Shows resize implementations and compression can substantially change FID KID and related evaluations","Generative natural-image benchmarks do not directly estimate painting capture error","B","core_candidate","Freeze resize implementation and test cross-implementation codec sentinels"
"RB009","2021","Northcutt Athalye and Mueller; Pervasive label errors in test sets","NeurIPS-Datasets-2021:f2217062","domain_shift","full_text","Audits common benchmark test sets and documents destabilizing label errors","Automated flags and human adjudication are imperfect; artwork attribution differs","A","core_candidate","Require accession-linked attribution provenance uncertainty states and blinded adjudication"
"ST001","2017","Heusel et al.; Fréchet Inception Distance","NeurIPS2017:8a1d6947","distribution_statistics","full_text","Introduces Gaussian feature-distribution distance for generative models","ImageNet semantics Gaussian assumption and finite-sample bias","B","diagnostic_only","Never use raw FID as the primary painter statistic"
"ST002","2012","Gretton et al.; Kernel two-sample test","JMLR:v13:gretton12a","distribution_statistics","full_text","Provides MMD estimation testing and kernels for distribution comparison","IID assumptions need clustered adaptation and kernel choice defines power","A","core_candidate","Use only with work-level inference and frozen kernel"
"ST003","2018","Binkowski et al.; Kernel Inception Distance","OpenReview:r1lUOzWCW","distribution_statistics","full_text","Introduces unbiased polynomial-kernel MMD estimator in Inception space","Unbiased estimator does not validate encoder or painter construct","B","secondary_candidate","Use as finite-sample sensitivity only"
"ST004","2018","Sajjadi et al.; Precision and recall for generative models","NeurIPS2018:f7696a9b","distribution_statistics","full_text","Separates fidelity and coverage aspects of generated distributions","Clustering choices and encoder affect results","B","core_candidate","Require separate target likeness and coverage"
"ST005","2019","Kynkaanniemi et al.; Improved precision and recall","NeurIPS2019:0234c510","distribution_statistics","full_text","Uses local feature-space neighborhoods for precision and recall","Sensitive to outliers dimension k and sample size","B","secondary_candidate","Report k and sample-size curves"
"ST006","2020","Naeem et al.; Density and coverage","PMLR:v119:naeem20a","distribution_statistics","full_text","Proposes robust fidelity and diversity neighborhood metrics","Still representation and neighborhood dependent","B","core_candidate","Use bidirectional density and coverage after qualification"
"ST007","2020","Chong and Forsyth; Effectively unbiased FID","10.1109/CVPR42600.2020.00611","distribution_statistics","full_text","Shows model-dependent finite-sample FID bias and proposes extrapolation","Extrapolation still inherits encoder and Gaussian assumptions","A","diagnostic_only","Use equal-size curves and avoid small unequal FID"
"ST008","2023","Stein et al.; Flaws of generative evaluation metrics","NeurIPS2023:0bc795af","distribution_statistics","full_text","Compares many metrics and encoders against human realism judgments","Human task is realism and no metric is universal","A","core_candidate","Report evaluator-family disagreement"
"ST009","2024","Jayasumana et al.; Rethinking FID","10.1109/CVPR52733.2024.00889","distribution_statistics","full_text","Uses unbiased Gaussian-kernel MMD in CLIP space and avoids FID Gaussian assumption","CLIP semantics and training exposure remain","B","diagnostic_only","Keep CMMD as contextual distribution sensitivity"
"ST010","2022","Alaa et al.; How faithful is your synthetic data","PMLR:v162:alaa22a","distribution_statistics","full_text","Decomposes fidelity coverage and authenticity with support estimates","High-dimensional support estimation and representation choice remain difficult","B","secondary_candidate","Consider only with sample-size calibration"
"ST011","2012","Owen and Eckles; Bootstrap for crossed random effects","10.1214/12-AOAS547","inference","full_text","Provides resampling methods for crossed random-effects data","Requires design-aligned implementation and enough levels","A","core_candidate","Resample physical works and raters or other crossed factors correctly"
"ST012","2015","Winkler et al.; Multi-level block permutation","10.1016/j.neuroimage.2015.05.092","inference","full_text","Explains exchangeability blocks for valid permutation inference","Neuroimaging examples need adaptation to corpus strata","A","core_candidate","Shuffle painter labels only within valid source content medium blocks"
"ST013","1976","Rubin; Inference and missing data","10.1093/biomet/63.3.581","missingness","full_text","Defines missing-data mechanisms and inferential consequences","Mechanism is not identifiable from observed data alone","A","core_candidate","Classify missingness and run sensitivity rather than assume ignorability"
"ST014","2011","White Horton Carpenter and Pocock; Strategy for intention-to-treat with missing outcomes","10.1136/bmj.d40","missingness","full_text","Emphasizes prespecified denominators and missing-outcome sensitivity","Clinical-trial domain requires careful transfer","A","core_candidate","Use intent-to-generate denominator and report availability"
"ST015","2013","Chambers; Registered Reports","10.1016/j.cortex.2012.12.016","research_design","full_text","Proposes results-blind review of question and method","Publication workflow differs from repository protocol","A","core_candidate","Freeze execution and analysis before external or generated data"
"ST016","2018","Nosek et al.; Preregistration revolution","10.1073/pnas.1708274114","research_design","full_text","Defines transparent confirmatory and exploratory separation","Preregistration quality depends on specificity","A","core_candidate","Version hypotheses thresholds deviations and negative results"
"ST017","2012","Judd Westfall and Kenny; Treating stimuli as a random factor","10.1037/a0028347","inference","full_text","Shows that ignoring sampled stimuli yields anti-conservative inference and motivates crossed participant-stimulus models","Social-psychology examples require adaptation to art stimuli","A","core_candidate","Model both raters and physical works; additional votes do not increase the number of works"
"FS001","2025","Deliege et al.; How Good Is the Machine at the Imitation Game","10.3390/jimaging11120429","human_validity","full_text","Three experts use nine art-historical and semiotic criteria to rate real and Midjourney images for ten painters and five movements","Only three experts one generator and movement-painter comparisons; substantial inter-expert variability","B","secondary_candidate","Use interval judgments and attribute families while modeling expert disagreement"
"FS002","2025","Asperti et al.; Does CLIP Perceive Art the Same Way We Do","10.1109/CBMI66578.2025.11339321","learned_representation","methods_and_results","Probes CLIP on content style period deformation and human or AI art benchmarks","Small selected domains and CLIP-based probes do not isolate painterly form or oeuvre coverage","C","diagnostic_only","Retain CLIP only as contextual and evaluator-limit diagnostic"
"FS003","2025","Hu et al.; Imagest","10.1038/s40494-025-02167-y","generative_evaluation","full_text","Evaluates style-conditioned art synthesis with Gram style loss CLIPScore and FID","Evaluator-coupled metrics and style exemplars do not establish painter distributions or human validity","C","background_only","Use as evidence that current generation papers still conflate style loss semantics and aggregate quality"
"FS004","2025","Li; Context and painting attributes across expertise","10.1177/02762374241262606","human_validity","full_text","Crosses setting reputation representational style and three expertise strata in 302 online participants","Aesthetic preference over sixteen paintings is not painterly similarity and reputation remains salient","B","secondary_candidate","Stratify expertise and keep contextual reputation and familiarity out of the painter criterion task"
